FID,CLASS,COMID,REACHCODE,GNIS_ID,GNIS_NAME
24997,3,14992493,1.80201E+13,264446,Pagge Creek
24998,2,2849987,1.80201E+13,1654949,Sacramento River
24999,3,14997389,1.80201E+13,265647,Rubicon River
25000,3,2775658,1.80201E+13,257868,Camp Creek
25001,3,12069000,1.80202E+13,222923,East Sand Slough
25002,1,14997435,1.80201E+13,265647,Rubicon River
25003,3,8027826,1.80201E+13,257380,Boulder Creek
25004,3,8039515,1.80201E+13,269159,Willow Creek
25005,4,2848393,1.80201E+13,233613,Calvins Creek
25006,6,4296503,1.80202E+13,0, 
25007,3,14992373,1.80201E+13,267066,North Fork American River
25008,3,948020860,1.802E+13,0, 
25009,1,14983084,1.80201E+13,267248,Silver Fork American River
25010,5,2782703,1.80202E+13,1654949,Sacramento River
25011,4,7991629,1.80201E+13,0, 
25012,3,8041981,1.80201E+13,260406,Frenchman Creek
25013,3,7947820,1.802E+13,256648,Bear Creek
25014,4,15022619,1.80201E+13,218096,Alder Creek
25015,3,7990419,1.80201E+13,257301,Board Creek
25016,3,15022683,1.80201E+13,0, 
25017,3,8064679,1.80201E+13,260248,Fordyce Creek
25018,3,8026866,1.80201E+13,261733,Indian Creek
25019,3,14982582,1.80201E+13,1654958,South Fork American River
25020,3,7928723,1.802E+13,0, 
25021,3,7995467,1.80201E+13,0, 
25022,3,8062509,1.80201E+13,0, 
25023,3,8027930,1.80201E+13,261733,Indian Creek
25024,3,8058547,1.80201E+13,260095,Fiddle Creek
25025,3,8039721,1.80201E+13,0, 
25026,4,7947280,1.802E+13,0, 
25027,3,14982350,1.80201E+13,1654958,South Fork American River
25028,3,948020302,1.80201E+13,263528,Middle Fork Feather River
25029,7,7996273,1.80201E+13,0, 
25030,6,2846753,1.80201E+13,0, 
25031,6,8005855,1.80201E+13,233407,Alley Creek
25032,6,4296379,1.80202E+13,245862,Middle Fork Cottonwood Creek
25033,6,8005887,1.80201E+13,233692,Clover Creek
25034,3,8039581,1.80201E+13,0, 
25035,3,8064481,1.80201E+13,263552,Middle Yuba River
25036,5,7948910,1.802E+13,1654947,Pit River
25037,3,7990565,1.80201E+13,0, 
25038,6,2847835,1.80201E+13,0, 
25039,3,8040283,1.80201E+13,0, 
25040,4,7951276,1.802E+13,267621,Squaw Creek
25041,3,2775808,1.80201E+13,221186,Clear Creek
