full_date,Discharge_CFS
2010-04-15,837
2010-04-15,837
2010-04-15,837
2010-04-15,837
2010-04-15,837
2010-04-15,829
2010-04-15,829
2010-04-15,829
2010-04-15,829
2010-04-15,829
2010-04-15,829
2010-04-15,822
2010-04-15,822
2010-04-15,822
2010-04-15,822
2010-04-15,822
2010-04-15,822
2010-04-15,822
2010-04-16,814
2010-04-16,814
2010-04-16,814
2010-04-16,814
2010-04-16,814
2010-04-16,814
2010-04-16,807
2010-04-16,807
2010-04-16,807
2010-04-16,807
2010-04-16,807
2010-04-16,807
2010-04-16,800
2010-04-16,800
2010-04-16,800
2010-04-16,800
2010-04-16,800
2010-04-16,800
2010-04-16,792
2010-04-16,792
2010-04-16,792
2010-04-16,792
2010-04-16,792
2010-04-16,792
2010-04-16,792
2010-04-16,785
2010-04-16,785
2010-04-16,785
2010-04-16,785
2010-04-16,785
2010-04-16,785
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-16,778
2010-04-17,778
2010-04-17,771
2010-04-17,771
2010-04-17,771
2010-04-17,771
2010-04-17,771
2010-04-17,771
2010-04-17,771
2010-04-17,771
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,764
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,757
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,750
2010-04-17,757
